Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,MCS Internal
High Voltage:,750
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,804
Lower Discriminator:,481
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,February 08, 2023, 03:13:39
End Time:,February 08, 2023, 03:17:04
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,218
1,,232
2,,211
3,,224
4,,205
5,,202
6,,236
7,,223
8,,218
9,,207
10,,215
11,,242
12,,201
13,,218
14,,225
15,,233
16,,214
17,,210
18,,213
19,,238
20,,244
21,,202
22,,222
23,,202
24,,231
25,,215
26,,207
27,,206
28,,221
29,,204
30,,199
31,,203
32,,188
33,,216
34,,227
35,,221
36,,217
37,,198
38,,221
39,,233
40,,221
41,,225
42,,209
43,,224
44,,213
45,,216
46,,223
47,,227
48,,229
49,,201
50,,227
51,,209
52,,240
53,,223
54,,222
55,,223
56,,199
57,,204
58,,250
59,,236
60,,223
61,,204
62,,235
63,,224
64,,230
65,,205
66,,225
67,,236
68,,227
69,,203
70,,213
71,,211
72,,228
73,,216
74,,237
75,,211
76,,230
77,,209
78,,212
79,,220
80,,221
81,,208
82,,231
83,,242
84,,210
85,,221
86,,257
87,,225
88,,248
89,,239
90,,207
91,,233
92,,232
93,,234
94,,224
95,,214
96,,206
97,,233
98,,208
99,,237
100,,227
101,,241
102,,227
103,,200
104,,237
105,,221
106,,220
107,,217
108,,200
109,,226
110,,191
111,,208
112,,210
113,,214
114,,257
115,,207
116,,231
117,,199
118,,218
119,,231
120,,222
121,,226
122,,236
123,,191
124,,226
125,,240
126,,231
127,,230
128,,222
129,,210
130,,235
131,,216
132,,214
133,,224
134,,203
135,,203
136,,214
137,,202
138,,222
139,,242
140,,213
141,,216
142,,179
143,,211
144,,234
145,,220
146,,214
147,,221
148,,246
149,,199
150,,231
151,,216
152,,222
153,,228
154,,220
155,,239
156,,222
157,,207
158,,247
159,,232
160,,232
161,,232
162,,237
163,,217
164,,227
165,,205
166,,202
167,,231
168,,211
169,,194
170,,216
171,,195
172,,199
173,,206
174,,225
175,,224
176,,215
177,,231
178,,192
179,,233
180,,216
181,,204
182,,253
183,,231
184,,211
185,,211
186,,239
187,,229
188,,241
189,,214
190,,201
191,,209
192,,211
193,,243
194,,238
195,,210
196,,198
197,,235
198,,261
199,,217
200,,212
201,,216
202,,220
203,,236
204,,219
205,,193
206,,193
207,,223
208,,212
209,,210
210,,257
211,,216
212,,227
213,,218
214,,201
215,,221
216,,238
217,,235
218,,207
219,,220
220,,215
221,,227
222,,244
223,,233
224,,193
225,,217
226,,231
227,,215
228,,227
229,,237
230,,226
231,,234
232,,221
233,,229
234,,195
235,,203
236,,234
237,,224
238,,233
239,,223
240,,227
241,,228
242,,212
243,,236
244,,199
245,,186
246,,215
247,,183
248,,238
249,,240
250,,217
251,,219
252,,236
253,,222
254,,230
255,,192
256,,208
257,,199
258,,205
259,,244
260,,222
261,,234
262,,242
263,,201
264,,203
265,,196
266,,195
267,,219
268,,228
269,,221
270,,197
271,,226
272,,191
273,,199
274,,226
275,,229
276,,254
277,,235
278,,211
279,,205
280,,236
281,,206
282,,219
283,,211
284,,236
285,,207
286,,213
287,,243
288,,220
289,,212
290,,206
291,,194
292,,229
293,,232
294,,238
295,,204
296,,222
297,,214
298,,203
299,,223
300,,244
301,,231
302,,220
303,,232
304,,223
305,,219
306,,248
307,,221
308,,223
309,,216
310,,247
311,,235
312,,214
313,,247
314,,223
315,,237
316,,214
317,,242
318,,220
319,,242
320,,227
321,,213
322,,224
323,,236
324,,213
325,,228
326,,191
327,,223
328,,215
329,,250
330,,241
331,,203
332,,231
333,,224
334,,209
335,,219
336,,188
337,,210
338,,221
339,,231
340,,215
341,,209
342,,225
343,,232
344,,186
345,,221
346,,228
347,,222
348,,232
349,,202
350,,227
351,,205
352,,202
353,,231
354,,232
355,,188
356,,225
357,,232
358,,217
359,,219
360,,207
361,,219
362,,217
363,,213
364,,194
365,,229
366,,245
367,,228
368,,239
369,,240
370,,227
371,,237
372,,227
373,,205
374,,229
375,,237
376,,207
377,,230
378,,240
379,,222
380,,239
381,,258
382,,243
383,,221
384,,216
385,,242
386,,233
387,,220
388,,234
389,,199
390,,206
391,,211
392,,199
393,,215
394,,218
395,,226
396,,200
397,,197
398,,222
399,,208
400,,218
401,,259
402,,204
403,,239
404,,196
405,,224
406,,209
407,,233
408,,215
409,,221
410,,221
411,,235
412,,217
413,,214
414,,213
415,,226
416,,205
417,,207
418,,227
419,,219
420,,225
421,,213
422,,247
423,,218
424,,260
425,,226
426,,216
427,,201
428,,241
429,,222
430,,216
431,,238
432,,207
433,,194
434,,241
435,,215
436,,224
437,,192
438,,210
439,,227
440,,205
441,,231
442,,193
443,,205
444,,227
445,,218
446,,202
447,,219
448,,230
449,,228
450,,240
451,,221
452,,208
453,,228
454,,243
455,,220
456,,228
457,,234
458,,214
459,,211
460,,235
461,,194
462,,241
463,,214
464,,219
465,,202
466,,214
467,,216
468,,225
469,,233
470,,254
471,,213
472,,230
473,,202
474,,212
475,,188
476,,208
477,,214
478,,206
479,,222
480,,211
481,,240
482,,234
483,,234
484,,226
485,,223
486,,199
487,,224
488,,228
489,,210
490,,213
491,,235
492,,209
493,,228
494,,248
495,,202
496,,231
497,,201
498,,216
499,,226
500,,230
501,,199
502,,234
503,,236
504,,224
505,,192
506,,231
507,,247
508,,251
509,,223
510,,208
511,,245
512,,221
513,,227
514,,213
515,,209
516,,222
517,,230
518,,216
519,,219
520,,217
521,,216
522,,242
523,,209
524,,229
525,,199
526,,226
527,,222
528,,245
529,,233
530,,233
531,,226
532,,247
533,,224
534,,213
535,,221
536,,225
537,,226
538,,211
539,,222
540,,226
541,,247
542,,224
543,,224
544,,241
545,,197
546,,208
547,,226
548,,213
549,,244
550,,236
551,,230
552,,222
553,,225
554,,216
555,,224
556,,218
557,,224
558,,208
559,,252
560,,233
561,,213
562,,215
563,,227
564,,232
565,,224
566,,222
567,,244
568,,226
569,,204
570,,214
571,,241
572,,185
573,,222
574,,212
575,,236
576,,219
577,,200
578,,246
579,,200
580,,220
581,,221
582,,228
583,,214
